Date,Description,Original Description,Amount,Transaction Type,Category,Account Name
3/28/2015,Advance,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 03/27/15 24435655087206209400931 8220Card #3800,1.69,debit,Business Services,50 Platinum Visa
4/1/2015,Advance,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 04/01/15 24435655091206209800480 8220Card #3800,1.69,debit,Business Services,50 Platinum Visa
4/2/2015,Spartys,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 04/01/15 24435655092206210300453 8220Card #3800,1.69,debit,Business Services,50 Platinum Visa
4/2/2015,Spartys,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 04/01/15 24435655092206209900081 8220Card #3800,1.05,debit,Business Services,50 Platinum Visa
4/2/2015,Amazon,Credit Card Advance AMAZON MKTPLACE PMTS AMZN.COM/BILL WADate 04/02/15 24692165092000846834003 5942Card #3800,27.99,debit,Shopping,50 Platinum Visa
4/3/2015,Advance,Credit Card Advance SPARTY'S CASE EAST LANSING MIDate 04/02/15 24435655093207269300310 8220Card #3800,1.69,debit,Business Services,50 Platinum Visa
4/4/2015,Transfer to 08 Spartan Saver,Home Banking Withdrawal To Share 08,322.3,debit,Transfer,28 Insured Money Management Acct
4/5/2015,Chipotle,Credit Card Advance CHIPOTLE 0720 WEST BLOOMFIE MIDate 04/04/15 24431065095207888602322 5814Card #3800,7.63,debit,Fast Food,50 Platinum Visa
4/10/2015,Advance,Credit Card Advance SPARTY'S CASE EAST LANSING MIDate 04/09/15 24435655100207269900268 8220Card #3800,2,debit,Business Services,50 Platinum Visa
4/11/2015,Advance,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 04/10/15 24435655101206209200309 8220Card #3800,7.69,debit,Business Services,50 Platinum Visa
4/11/2015,Car Insurance,Credit Card Advance ESURANCE CAR INSURANCE 800-378-7262 CADate 04/11/15 24692165101000976815862 6300Card #3800,176.43,debit,Auto Insurance,50 Platinum Visa
4/12/2015,Advance,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 04/11/15 24435655102206209300967 8220Card #3800,5.29,debit,Business Services,50 Platinum Visa
4/12/2015,Advance,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 04/11/15 24435655102206209301197 8220Card #3800,6,debit,Business Services,50 Platinum Visa
4/12/2015,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,1027.03,debit,Credit Card Payment,08 Spartan Saver
4/14/2015,Advance,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 04/13/15 24435655104206209500069 8220Card #3800,1.69,debit,Business Services,50 Platinum Visa
4/16/2015,Advance,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 04/15/15 24435655106206209700071 8220Card #3800,1.05,debit,Business Services,50 Platinum Visa
4/17/2015,Advance,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 04/16/15 24435655107206210700283 8220Card #3800,1.69,debit,Business Services,50 Platinum Visa
4/18/2015,Meijer,Credit Card Advance MEIJER INC #025 Q01 OKEMOS MIDate 04/18/15 24445005108200158659242 5411Card #3800,44.83,debit,Groceries,50 Platinum Visa
4/18/2015,Meijer,Credit Card Advance MEIJER INC #025 Q01 OKEMOS MIDate 04/18/15 24445005108200158659168 5411Card #3800,39.75,debit,Groceries,50 Platinum Visa
4/19/2015,Advance,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 04/18/15 24435655109206209000412 8220Card #3800,1.69,debit,Business Services,50 Platinum Visa
4/21/2015,Advance,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 04/20/15 24435655111206209200034 8220Card #3800,1.69,debit,Business Services,50 Platinum Visa
4/21/2015,Advance Humblebundle Com,Credit Card Advance HUMBLEBUNDLE.COM 866-748-6258 CADate 04/21/15 24492155111637003542729 5734Card #3800,5,debit,Business Services,50 Platinum Visa
4/24/2015,ATM Withdrawal,ATM Withdrawal #000000002373ATM MSU FCU 1407 S HARRISON EAST LANSINGMI CKK481Card #2559,40,debit,Cash & ATM,88 Totally Green Checking
4/25/2015,Quality Dairy,Credit Card Advance QUALITY DAIRY 31180029 EAST LANSING MIDate 04/24/15 24164075115110037921403 5541Card #3800,2.09,debit,Groceries,50 Platinum Visa
4/25/2015,Advance,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 04/24/15 24435655115206209600072 8220Card #3800,1.69,debit,Business Services,50 Platinum Visa
4/26/2015,CVS,Credit Card Advance CVS/PHARMACY #08282 EAST LANSING MIDate 04/25/15 24445005116000603143176 5912Card #3800,10.97,debit,Pharmacy,50 Platinum Visa
5/3/2015,Michaels,Credit Card Advance MICHAELS STORES 9987 LANSING MIDate 05/02/15 24692165123000146093253 5970Card #3800,22.96,debit,Hobbies,50 Platinum Visa
5/4/2015,Insomnia Cookies,Credit Card Advance INSOMNIA COOKIES - EAS 877-6326654 MIDate 05/04/15 24071055124985310351623 5462Card #3800,275,debit,Business Services,50 Platinum Visa
5/5/2015,Advance,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 05/04/15 24435655125206209600757 8220Card #3800,1.69,debit,Business Services,50 Platinum Visa
5/6/2015,Altu's Ethiopian Cuisine,Credit Card Advance ALTU'S ETHIOPIAN C EAST LANSING MIDate 05/06/15 24224435127103007871153 5812Card #3800,11.66,debit,Restaurants,50 Platinum Visa
5/6/2015,H&M,Credit Card Advance H&M MERIDIAN MALL OKEMOS MIDate 05/05/15 24435655126091448000368 5651Card #3800,38.05,debit,Clothing,50 Platinum Visa
5/8/2015,Advance,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 05/07/15 24435655128206210800575 8220Card #3800,3.59,debit,Business Services,50 Platinum Visa
5/9/2015,Advance,Credit Card Advance SPARTY'S CASE EAST LANSING MIDate 05/08/15 24435655129207269800010 8220Card #3800,4.11,debit,Business Services,50 Platinum Visa
5/10/2015,Great Clips,Credit Card Advance GREAT CLIPS #1736 BIRMINGHAM MIDate 05/10/15 24761975130207188500181 7230Card #3800,25,debit,Hair,50 Platinum Visa
5/11/2015,Car Insurance,Credit Card Advance ESURANCE CAR INSURANCE 800-378-7262 CADate 05/11/15 24692165131000150412225 6300Card #3800,188,debit,Auto Insurance,50 Platinum Visa
5/13/2015,CVS,Credit Card Advance CVS/PHARMACY #08307 DETROIT MIDate 05/12/15 24445005133000499859223 5912Card #3800,8.2,debit,Pharmacy,50 Platinum Visa
5/13/2015,Cadillac,Credit Card Advance CADILLAC SQUARE DINER DETROIT MIDate 05/12/15 24013395132001282188562 5812Card #3800,9.13,debit,Auto Payment,50 Platinum Visa
5/15/2015,Chipotle,Credit Card Advance CHIPOTLE 0720 WEST BLOOMFIE MIDate 05/14/15 24431065135207888602621 5814Card #3800,7.63,debit,Fast Food,50 Platinum Visa
5/15/2015,Transfer to 28 Insured Money Management Acct,Home Banking Withdrawal To Share 28,1664.5,debit,Transfer,08 Spartan Saver
5/18/2015,Amazon,Credit Card Advance AMAZON MKTPLACE PMTS AMZN.COM/BILL WADate 05/18/15 24692165138000585647208 5942Card #3800,40.53,debit,Shopping,50 Platinum Visa
5/18/2015,Advance Sq Go,Credit Card Advance SQ *GO] SY THAI TRUK Detroit MIDate 05/18/15 24692165138000584989460 5814Card #3800,9,debit,Credit Card Payment,50 Platinum Visa
5/18/2015,Amazon,Credit Card Advance Amazon.com AMZN.COM/BILL WADate 05/18/15 24692165138000625477608 5942Card #3800,11.6,debit,Shopping,50 Platinum Visa
5/18/2015,Transfer to 28 Insured Money Management Acct,Home Banking Withdrawal To Share 28,25,debit,Transfer,88 Totally Green Checking
5/18/2015,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,756.69,debit,Credit Card Payment,28 Insured Money Management Acct
5/19/2015,Amazon,Credit Card Advance AMAZON MKTPLACE PMTS AMZN.COM/BILL WADate 05/19/15 24692165139000988790232 5942Card #3800,13.99,debit,Shopping,50 Platinum Visa
5/20/2015,Buffalo Wild Wings,Credit Card Advance BUFFALO WILD WINGS FARMINGTON HI MIDate 05/18/15 24755425139171397399816 5812Card #3800,18.63,debit,Restaurants,50 Platinum Visa
5/21/2015,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,44.22,debit,Credit Card Payment,88 Totally Green Checking
5/21/2015,Transfer to 88 Totally Green Checking,Home Banking Withdrawal To Share 88,99.22,debit,Transfer,08 Spartan Saver
5/22/2015,Home Depot,Credit Card Advance THE HOME DEPOT 2706 TROY MIDate 05/21/15 24610435142010185314158 5200Card #3800,24.85,debit,Home Improvement,50 Platinum Visa
5/24/2015,"Olga's Kitchen, Inc.",Credit Card Advance OLGA'S KITCHEN - 1 248-362-0001 MIDate 05/22/15 24224435144104016560893 5812Card #3800,7.29,debit,Restaurants,50 Platinum Visa
5/24/2015,Wal-Mart,Credit Card Advance WAL-MART #5376 TAWAS CITY MIDate 05/23/15 24455015143141005537145 5411Card #3800,13.58,debit,Shopping,50 Platinum Visa
5/24/2015,Wal-Mart,Credit Card Advance WAL-MART #5376 TAWAS CITY MIDate 05/23/15 24226385144091004661061 5411Card #3800,12.42,debit,Shopping,50 Platinum Visa
5/24/2015,Village Chocolatier,Credit Card Advance SQ *VILLAGE CHOCOLATIER East Tawas MIDate 05/24/15 24692165144000438386261 5499Card #3800,4.18,debit,Groceries,50 Platinum Visa
5/26/2015,Amazon,Credit Card Advance AMAZON MKTPLACE PMTS AMZN.COM/BILL WADate 05/26/15 24692165146000185013595 5942Card #3800,10.45,debit,Shopping,50 Platinum Visa
5/26/2015,Amazon,Credit Card Advance AMAZON MKTPLACE PMTS AMZN.COM/BILL WADate 05/26/15 24692165146000187303929 5942Card #3800,17.98,debit,Shopping,50 Platinum Visa
5/27/2015,Speedway,Credit Card Advance SPEEDWAY 08722 BLO BLOOMFIELD HI MIDate 05/27/15 24224435148103013419224 5542Card #3800,30.69,debit,Gas & Fuel,50 Platinum Visa
5/28/2015,Microsoft,Credit Card Advance MICROSOFT * BILL.MS.NET WADate 05/27/15 24430995148400806000127 4816Card #3800,5.29,debit,Electronics & Software,50 Platinum Visa
5/29/2015,Advance Belle Tire,Credit Card Advance BELLE TIRE 004 W BLOOMFIELD MIDate 05/28/15 24388945149630108940887 5532Card #3800,293.16,debit,Credit Card Payment,50 Platinum Visa
6/1/2015,Amazon,Credit Card Advance AMAZON MKTPLACE PMTS AMZN.COM/BILL WADate 06/01/15 24692165152000271475816 5942Card #3800,15.6,debit,Shopping,50 Platinum Visa
6/1/2015,Amazon,Credit Card Advance AMAZON MKTPLACE PMTS AMZN.COM/BILL WADate 06/01/15 24692165152000271553737 5942Card #3800,7.21,debit,Shopping,50 Platinum Visa
6/3/2015,Advance Bagger Daves,Credit Card Advance BAGGER DAVES BLOOMFIELD BLOOMFIELD HI MIDate 06/02/15 24755425154121549658460 5812Card #3800,13.13,debit,Credit Card Payment,50 Platinum Visa
6/4/2015,American Coney Island,Credit Card Advance AMERICAN CONEY ISLAND DETROIT MIDate 06/03/15 24323005154254881010231 5814Card #3800,5.77,debit,Restaurants,50 Platinum Visa
6/6/2015,Advance Leos Coney,Credit Card Advance LEOS CONEY ISLAND #5 BIRMINGHAM MIDate 06/05/15 24013395156000551533541 5812Card #3800,9.93,debit,Credit Card Payment,50 Platinum Visa
6/6/2015,ATM Withdrawal,ATM Withdrawal #000000002746ATM BIRMINGHAM BLOOMFIELD CU 576 E LINCOLNST BIRMINGHAM MI CKE701Card #2559,40,debit,Cash & ATM,88 Totally Green Checking
6/7/2015,Advance Gleaners Midate,Credit Card Advance GLEANERS COMMUNITY 031-392-3353 MIDate 06/05/15 24224435158104024498352 8398Card #3800,10,debit,Credit Card Payment,50 Platinum Visa
6/8/2015,Target,Credit Card Advance TARGET 00013136 TROY MIDate 06/07/15 24164075158091011313270 5411Card #3800,7.93,debit,Shopping,50 Platinum Visa
6/8/2015,Target,Credit Card Advance TARGET 00013136 TROY MIDate 06/07/15 24164075158091011313262 5411Card #3800,48.35,debit,Shopping,50 Platinum Visa
6/8/2015,Target,Credit Card Advance TARGET 00013136 TROY MIDate 06/07/15 24164075158091012535806 5411Card #3800,67.01,debit,Shopping,50 Platinum Visa
6/8/2015,BP,Credit Card Advance MAPLE&TELEGRAPH BP BLOOMFIELD HI MIDate 06/07/15 24122545159740159200036 5542Card #3800,20,debit,Gas & Fuel,50 Platinum Visa
6/9/2015,Amazon,Credit Card Advance AMAZON MKTPLACE PMTS AMZN.COM/BILL WADate 06/09/15 24692165160000844394064 5942Card #3800,235.95,debit,Shopping,50 Platinum Visa
6/9/2015,Transfer to 28 Insured Money Management Acct,Home Banking Withdrawal To Share 28,355.85,debit,Transfer,08 Spartan Saver
6/11/2015,Car Insurance,Credit Card Advance ESURANCE CAR INSURANCE 800-378-7262 CADate 06/11/15 24692165162000926065259 6300Card #3800,321.22,debit,Auto Insurance,50 Platinum Visa
6/11/2015,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,860.77,debit,Credit Card Payment,28 Insured Money Management Acct
6/12/2015,O'Reilly Auto Parts,Credit Card Advance OREILLY AUTO 00033647 SOUTHFIELD MIDate 06/11/15 24399005162080004773945 5533Card #3800,34.96,debit,Service & Parts,50 Platinum Visa
6/14/2015,Car Care Inc,Credit Card Advance CRANBRK CAR CARE INC BIRMINGHAM MIDate 06/14/15 24122545165740165430165 5542Card #3800,10.01,debit,Service & Parts,50 Platinum Visa
6/17/2015,Speedway,Credit Card Advance SPEEDWAY 08722 BLO BLOOMFIELD HI MIDate 06/17/15 24224435169103014169939 5542Card #3800,20.11,debit,Gas & Fuel,50 Platinum Visa
6/18/2015,American Coney Island,Credit Card Advance AMERICAN CONEY ISLAND DETROIT MIDate 06/17/15 24323005168254907010151 5814Card #3800,4.77,debit,Restaurants,50 Platinum Visa
6/19/2015,Potbelly Sandwich Works,Credit Card Advance POTBELLY 331 DETROIT MIDate 06/19/15 24224435171102004872409 5814Card #3800,5.09,debit,Fast Food,50 Platinum Visa
6/20/2015,Target,Credit Card Advance TARGET 00013136 TROY MIDate 06/19/15 24164075171091007623263 5411Card #3800,59.84,debit,Shopping,50 Platinum Visa
6/21/2015,ATM Withdrawal,ATM Withdrawal #000000004021ATM BIRMINGHAM BLOOMFIELD CU 576 E LINCOLNST BIRMINGHAM MI CKE701Card #2559,20,debit,Cash & ATM,28 Insured Money Management Acct
6/21/2015,ATM Withdrawal,ATM Withdrawal #000000004021ATM BIRMINGHAM BLOOMFIELD CU 576 E LINCOLNST BIRMINGHAM MI CKE701Card #2559,20,debit,Transfer for Cash Spending,28 Insured Money Management Acct
6/21/2015,Marathon,Credit Card Advance MARATHON PETRO031856 SOUTHFIELD MIDate 06/21/15 24299105172002128148207 5542Card #3800,15,debit,Gas & Fuel,50 Platinum Visa
6/22/2015,Little Caesars,Credit Card Advance LITTLE CAESARS 1004 000 BIRMINGHAM MIDate 06/21/15 24445005172300504889203 5814Card #3800,5.3,debit,Restaurants,50 Platinum Visa
6/24/2015,Marathon,Marathon,20,debit,Gas & Fuel,Cash
6/25/2015,Tim Horton's,Credit Card Advance TIM HORTONS #913781 DETROIT MIDate 06/24/15 24692165176000321267850 5814Card #3800,2.01,debit,Coffee Shops,50 Platinum Visa
6/26/2015,Olga's Kitchen,Credit Card Advance OLGA'S KITCHEN - 1 DETROIT MIDate 06/26/15 24224435178102000604908 5812Card #3800,2.53,debit,Restaurants,50 Platinum Visa
6/26/2015,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,480.84,debit,Credit Card Payment,28 Insured Money Management Acct
6/27/2015,Kroger,Credit Card Advance KROGER #658 SOUTHFIELD MIDate 06/26/15 24445715177300402468265 5411Card #3800,1.05,debit,Groceries,50 Platinum Visa
6/28/2015,Shell,Credit Card Advance SHELL OIL 57445534803 SOUTHFIELD MIDate 06/27/15 24316055179548665007791 5542Card #3800,15,debit,Gas & Fuel,50 Platinum Visa
6/28/2015,Detroit Institute Of Arts,Credit Card Advance DETROIT INSTITUTE OF AR DETROIT MIDate 06/27/15 24055235179207088700887 7523Card #3800,7,debit,Entertainment,50 Platinum Visa
6/28/2015,Chipotle,Credit Card Advance CHIPOTLE 1648 SOUTHFIELD MIDate 06/27/15 24431065179207088701048 5814Card #3800,7.63,debit,Fast Food,50 Platinum Visa
6/29/2015,Car Care Inc,Credit Card Advance CRANBRK CAR CARE INC BIRMINGHAM MIDate 06/29/15 24122545180740180040362 5542Card #3800,15,debit,Service & Parts,50 Platinum Visa
6/30/2015,Olga's Kitchen,Credit Card Advance OLGA'S KITCHEN - 1 DETROIT MIDate 06/30/15 24224435182102000655375 5812Card #3800,2.53,debit,Restaurants,50 Platinum Visa
6/30/2015,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,1000,debit,Roth IRA contributio,28 Insured Money Management Acct
6/30/2015,Eye Buy Direct,Credit Card Advance AMZ*EyeBuyDirect Inc amzn.com/pmts WADate 06/30/15 24692165181000654396444 7399Card #3800,44.9,debit,Clothing,50 Platinum Visa
7/1/2015,Vanguard,ACH Withdrawal VANGUARDTYPE: EDI PYMNTS ID: XXXXXXXXXXCO: VANGUARD,0.99,debit,Financial,28 Insured Money Management Acct
7/3/2015,Exxon,Credit Card Advance EXXONMOBIL 97316962 BLOOMFIELD HI MIDate 07/02/15 24164055184378000657050 5542Card #3800,10.61,debit,Gas & Fuel,50 Platinum Visa
7/3/2015,Arby's,Credit Card Advance ARBYS 6200 FARMINGTON HI MIDate 07/02/15 24431065184206988001148 5814Card #3800,3.48,debit,Fast Food,50 Platinum Visa
7/3/2015,Sav-On Drugs,Credit Card Advance SAV-ON DRUGS #1 XXXXXXXXXX MIDate 07/02/15 24765015184006000637460 5912Card #3800,5.6,debit,Pharmacy,50 Platinum Visa
7/3/2015,Jpmorgan Chase,ACH Withdrawal JPMorgan ChaseTYPE: QuickPay ID: XXXXXXXXXXCO: JPMorgan Chase,55,debit,Financial,08 Spartan Saver
7/4/2015,Home Depot,Credit Card Advance THE HOME DEPOT 2706 TROY MIDate 07/03/15 24610435185010186466393 5200Card #3800,21.3,debit,Home Improvement,50 Platinum Visa
7/4/2015,McDonald's,Credit Card Advance MCDONALD'S F5568 STANDISH MIDate 07/03/15 24427335184720056302405 5814Card #3800,2.73,debit,Fast Food,50 Platinum Visa
7/4/2015,Advance Auto Parts,Credit Card Advance ADVANCE AUTO PARTS #884 FARMINGTON HI MIDate 07/02/15 24326885184666000263720 5533Card #3800,24.86,debit,Service & Parts,50 Platinum Visa
7/5/2015,Advance Holy Smokes,Credit Card Advance HOLY SMOKES TOBACCO CIG EAST TAWAS MIDate 07/04/15 24327435186588100253107 5993Card #3800,4.23,debit,Business Services,50 Platinum Visa
